"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","2","10uF","C1,C3","C0402","10uF","CL05A106MQ5NUNC","SAMSUNG(三星)","C15525","LCSC"
"2","2","100nF","C2,C4","C0402","100nF","CL05B104KO5NNNC","SAMSUNG(三星)","C1525","LCSC"
"3","1","1uF","C5","C0402","1uF","CL05A105KA5NQNC","SAMSUNG(三星)","C52923","LCSC"
"4","1","1N4148WS","D1","SOD-323_L1.8-W1.3-LS2.5-RD","","1N4148WS","CJ(江苏长电/长晶)","C2128","LCSC"
"5","1","LTV-816S-TA1-D3-TX","H1","OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-BL","","LTV-816S-TA1-D3-TX","LITEON(光宝)","C92647","LCSC"
"6","1","HC-PM254-8.5H-1x3PZ-02A","H2","HDR-TH_3P-P2.54-V-F","","HC-PM254-8.5H-1x3PZ-02A","HC(虹成电子)","C22373889","LCSC"
"7","1","100Ω","R1","R0603","100Ω","FRC0603F1000TS","FOJAN(富捷)","C2906981","LCSC"
"8","1","330Ω","R2","R0603","330Ω","0603WAF3300T5E","UNI-ROYAL(厚声)","C23138","LCSC"
"9","1","68kΩ","R3","R0603","68kΩ","0603WAF6802T5E","UNI-ROYAL(厚声)","C23231","LCSC"
"10","1","22kΩ","R4","R0603","22kΩ","0603WAF2202T5E","UNI-ROYAL(厚声)","C31850","LCSC"
"11","2","10kΩ","R5,R6","R0603","10kΩ","RC0603FR-0710KL","YAGEO(国巨)","C98220","LCSC"
"12","1","2.4GHz","U3","BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB","2.4GHz","ESP32-C3-WROOM-02-N4","ESPRESSIF(乐鑫)","C2934560","LCSC"
"13","1","AMS1117-3.3","U4","SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR","","AMS1117-3.3","UMW(友台半导体)","C347222","LCSC"
